0,1,2,3
0.992736,0.009753,-0.059895,0
0.985112,0.014405,-0.059411,0
1.005034,0.022729,-0.058201,0
0.978717,0.012691,-0.065221,0
0.98708,0.012446,-0.057232,0
0.983882,0.011957,-0.05699,0
0.936415,0.016363,-0.059169,0
1.004788,0.019546,-0.052149,0
0.951171,0.01465,-0.062074,0
0.990031,0.017588,-0.0628,0
0.977734,0.015874,-0.056264,0
0.972077,0.017588,-0.051665,0
0.990031,0.015874,-0.058443,0
0.965436,0.015384,-0.060621,0
1.03258,0.00755,-0.062558,0
0.96765,0.00755,-0.064494,0
0.98708,0.01465,-0.060137,0
0.98339,0.010977,-0.063284,0
0.998393,0.010733,-0.068125,0
0.989785,0.012446,-0.064736,0
0.89362,0.015384,-0.051181,0
1.054223,0.015384,-0.066189,0
0.999623,0.020281,-0.052633,0
0.97798,0.01465,-0.063526,0
0.983144,0.015384,-0.058927,0
0.91059,0.019301,-0.060621,0
1.009707,0.014405,-0.058201,0
0.966174,0.012446,-0.064252,0
0.989785,0.010977,-0.068852,0
1.007493,0.012446,-0.059653,0
0.995442,0.013181,-0.062074,0
0.980439,0.015139,-0.062316,0
0.945761,0.016363,-0.0628,0
0.988801,0.008039,-0.062074,0
0.951663,0.017098,-0.061105,0
0.991753,0.019056,-0.056506,0
0.97552,0.015629,-0.051181,0
0.974536,0.013915,-0.057232,0
0.968634,0.012201,-0.058443,0
0.986342,0.012201,-0.058927,0
0.961747,0.015139,-0.059895,0
0.964944,0.007305,-0.062074,0
1.003312,0.012201,-0.063768,0
0.966912,0.01416,-0.06159,0
1.01315,0.008529,-0.068125,0
0.981669,0.011712,-0.064252,0
0.982898,0.019301,-0.058443,0
0.991507,0.008774,-0.058685,0
1.04709,0.012936,-0.062316,0
0.963715,0.011957,-0.050939,0
1.035039,0.01367,-0.064979,0
0.985604,0.012936,-0.051665,0
0.975028,0.011222,-0.063526,0
0.980931,0.016119,-0.055296,0
0.985604,0.012691,-0.057959,0
1.045615,0.010733,-0.068367,0
0.976258,0.006571,-0.067157,0
0.988063,0.017343,-0.064252,0
0.988555,0.015629,-0.060379,0
0.898047,0.017588,-0.054086,0
0.999131,0.015139,-0.058685,0
0.998147,0.019791,-0.055296,0
1.040942,0.014405,-0.056264,0
0.97429,0.009753,-0.064979,0
0.981423,0.018567,-0.055538,0
0.982652,0.013181,-0.060863,0
0.897309,0.012691,-0.058685,0
0.999377,0.013426,-0.056748,0
0.971585,0.012691,-0.063768,0
0.99618,0.015874,-0.059169,0
0.978225,0.019546,-0.059169,0
0.987571,0.020525,-0.058443,0
0.995196,0.012201,-0.063768,0
0.917723,0.016363,-0.051423,0
1.01069,0.017098,-0.052149,0
0.977734,0.014894,-0.064252,0
0.995442,0.014894,-0.058927,0
0.969371,0.017343,-0.056264,0
1.002574,0.016119,-0.060621,0
0.979947,0.012936,-0.063284,0
0.967404,0.012446,-0.057717,0
1.002574,0.015384,-0.058443,0
0.969371,0.016119,-0.056748,0
0.997163,0.015629,-0.063042,0
0.967896,0.015384,-0.052875,0
0.969125,0.012201,-0.057232,0
1.005034,0.017343,-0.056022,0
0.971093,0.019791,-0.053843,0
0.986342,0.015384,-0.063042,0
0.936661,0.013426,-0.057717,0
0.996917,0.016363,-0.058685,0
0.978471,0.018567,-0.057717,0
1.009215,0.013915,-0.065463,0
0.977242,0.015384,-0.058927,0
0.955598,0.015139,-0.060137,0
0.993966,0.011467,-0.060863,0
0.969371,0.015629,-0.061105,0
1.041188,0.01465,-0.067399,0
0.973061,0.012691,-0.056264,0
0.977734,0.015384,-0.058201,0
0.965682,0.011467,-0.059653,0
0.972569,0.013426,-0.059169,0
0.977488,0.015384,-0.061105,0
0.989785,0.014405,-0.062316,0
0.908377,0.015139,-0.053359,0
1.006755,0.016608,-0.058443,0
0.973798,0.016608,-0.063042,0
0.98462,0.013181,-0.064252,0
0.894112,0.018812,-0.05457,0
0.992982,0.01416,-0.06159,0
0.978717,0.01465,-0.0628,0
0.974536,0.007305,-0.061832,0
0.985112,0.009264,-0.06982,0
0.968634,0.015874,-0.058443,0
0.993228,0.016119,-0.057717,0
1.022988,0.019546,-0.058927,0
0.965682,0.016119,-0.05578,0
0.964698,0.019056,-0.059895,0
0.994458,0.016363,-0.05578,0
0.96888,0.011467,-0.055054,0
0.984866,0.011957,-0.065705,0
0.981423,0.012201,-0.058201,0
0.996426,0.009019,-0.066189,0
1.002328,0.016363,-0.053359,0
0.974782,0.011712,-0.061832,0
0.981423,0.015629,-0.058443,0
0.988063,0.016119,-0.059653,0
0.892882,0.015874,-0.057474,0
1.011182,0.014894,-0.060137,0
0.965682,0.013181,-0.05578,0
0.977242,0.010243,-0.066673,0
0.999869,0.015384,-0.059653,0
0.967158,0.017098,-0.053601,0
0.991507,0.015874,-0.058201,0
0.966174,0.011467,-0.058927,0
1.023726,0.012936,-0.067641,0
0.973552,0.01465,-0.064494,0
0.991753,0.017588,-0.060621,0
0.992244,0.019791,-0.059653,0
1.038482,0.013181,-0.060863,0
0.988555,0.015874,-0.061348,0
0.986588,0.014405,-0.059653,0
0.886733,0.013181,-0.057717,0
1.011428,0.016853,-0.062074,0
0.977734,0.010733,-0.057232,0
0.992736,0.015384,-0.064736,0
0.913296,0.004367,-0.057959,0
0.994212,0.011467,-0.055538,0
0.954123,0.013426,-0.059895,0
0.994212,0.012446,-0.059653,0
0.971339,0.015139,-0.055296,0
0.969125,0.013426,-0.063768,0
0.996426,0.01465,-0.057717,0
1.007247,0.015629,-0.062558,0
0.997409,0.010243,-0.052633,0
0.963223,0.015874,-0.056264,0
0.980685,0.013915,-0.056022,0
0.974782,0.016363,-0.066915,0
1.008231,0.019791,-0.059169,0
0.97552,0.009019,-0.06401,0
0.919198,0.018077,-0.051907,0
1.04832,0.014894,-0.065947,0
0.993474,0.011712,-0.056748,0
0.977242,0.013915,-0.059411,0
0.99372,0.016363,-0.057717,0
0.946744,0.013915,-0.055296,0
0.97429,0.010977,-0.059895,0
0.962485,0.016119,-0.061832,0
1.001099,0.015874,-0.058685,0
0.975274,0.013181,-0.058685,0
0.989293,0.015384,-0.053601,0
0.990769,0.014405,-0.059895,0
1.012904,0.005102,-0.063526,0
0.97798,0.011222,-0.066673,0
0.964452,0.017588,-0.054086,0
0.996426,0.017343,-0.062316,0
1.007985,0.018322,-0.054086,0
0.968388,0.011222,-0.060621,0
0.953139,0.015874,-0.055538,0
0.994458,0.017588,-0.053117,0
0.976012,0.017588,-0.058685,0
0.964452,0.009998,-0.058443,0
0.985358,0.013426,-0.057717,0
0.99495,0.013915,-0.064494,0
